ID,Year_of_Birth,Education_Level,Marital_Status,Disposable_Income,No_of_Kids_in_home,No_of_Teen_in_home,Date_Customer,Recency,Discounted_Purchases,WebPurchases,CatalogPurchases,StorePurchases,Amount_on_Wines,Amount_on_Fruits,Amount_on_MeatProducts,Amount_on_FishProducts,Amount_on_SweetProducts,Amount_on_GoldProds,WebVisitsMonth,Cmp3Accepted,Cmp4Accepted,Cmp5Accepted,Cmp1Accepted,Cmp2Accepted,Any_Complain,Response
ID_4ZX69MQR,1990,Graduation,Single,55328.4,1,0,10-02-2014,85,1,1,1,4,36,12,27,16,9,33,3,0,0,0,0,0,0,0
ID_85PXOT15,1970,PhD,Married,113845.2,0,2,01-09-2012,106,1,8,5,4,174,27,553,188,0,144,7,0,1,1,0,0,0,1
ID_LAEYSWZB,1986,Graduation,Single,84715.2,0,0,05-10-2012,75,1,3,5,12,352,47,534,17,0,26,2,0,0,0,0,0,0,0
ID_TY8LP8XU,1977,Master,Together,36672.0,1,0,27-06-2013,13,1,1,0,3,14,4,5,4,5,7,7,0,0,0,0,0,0,0
ID_STMJXRTW,1977,Master,Together,78124.8,0,1,14-11-2013,11,2,3,5,7,743,3,232,13,20,50,7,0,0,0,0,0,0,1
ID_E3R132QC,1971,2n Cycle,Divorced,31150.8,1,1,14-02-2013,8,2,1,2,2,9,5,12,7,5,26,6,0,0,0,0,0,0,1
ID_MW3XRQLM,1966,Graduation,Together,85935.59999999999,0,0,21-08-2013,33,1,8,2,10,431,52,127,111,21,42,4,0,0,0,0,0,0,0
ID_J2LTL5ZA,1966,2n Cycle,Divorced,77011.2,0,1,03-08-2012,59,8,8,9,8,1220,36,249,64,116,149,6,0,0,0,0,0,0,0
ID_3BWYAHWK,1969,Graduation,Married,61544.4,1,1,01-04-2014,17,3,4,1,3,122,3,22,13,0,30,7,0,0,0,0,0,0,0
ID_0416PYOG,1973,Graduation,Married,43231.2,2,1,16-03-2014,41,2,2,0,3,25,7,10,6,4,17,6,0,0,0,0,0,0,0
ID_MNOMSWCS,1900,PhD,Together,100238.4,0,0,26-09-2013,43,1,4,6,4,760,147,562,104,64,224,1,0,0,1,0,0,0,0
ID_MTFNKMZF,1972,PhD,Married,94717.2,0,0,25-10-2013,26,1,2,8,13,336,200,170,58,152,35,1,0,0,0,0,0,0,0
ID_0T78ZIXA,1967,Master,Married,45814.8,1,1,14-03-2013,37,4,3,1,3,43,7,22,4,2,20,7,0,0,0,0,0,0,0
ID_ILCR9N8I,1971,Graduation,Single,27102.0,0,0,18-03-2013,30,1,1,1,2,8,12,15,13,2,39,9,1,0,0,0,0,0,1
ID_UMPR7RFZ,1979,Master,Married,105716.4,1,0,18-08-2012,31,1,6,5,8,168,3,480,0,126,75,9,0,1,1,1,0,0,1
ID_SKQ9M831,1987,2n Cycle,Married,9000.0,1,0,07-02-2013,103,2,2,0,3,6,14,5,4,6,9,8,0,0,0,0,0,0,0
ID_3LG2NQRX,1984,Master,Single,38145.6,1,0,20-03-2014,22,3,3,0,4,21,10,23,0,8,6,5,0,0,0,0,0,1,0
ID_PCKKPI6I,1986,Graduation,Single,35712.0,1,0,29-08-2012,94,4,3,1,4,69,7,68,7,5,17,8,0,0,0,0,0,0,0
ID_D43R7NQS,1959,Graduation,Married,73288.8,0,1,17-08-2012,44,7,11,5,8,794,3,133,0,28,152,7,0,0,0,0,0,0,0
ID_3404HB8X,1992,Basic,Single,32241.6,1,0,30-04-2014,59,1,1,0,2,5,3,1,8,3,2,7,0,0,0,0,0,0,0
ID_M9JAICPN,1968,Graduation,Single,56284.8,1,1,03-11-2012,27,4,5,1,4,158,7,56,0,9,31,8,0,0,0,0,0,0,0
ID_DRDBX5UB,1963,Graduation,Together,61434.0,1,1,01-04-2013,53,8,9,2,5,235,17,156,82,24,58,8,0,0,0,0,0,0,0
ID_2O700M68,1966,Graduation,Single,79552.8,0,0,17-03-2014,75,1,4,3,5,256,111,334,65,92,117,2,0,0,0,0,0,0,0
ID_UUUXXISM,1972,Graduation,Widow,54820.8,1,0,02-12-2013,44,1,1,0,2,10,4,5,10,0,7,7,0,0,0,0,0,0,0
ID_0DFJE23A,1957,Graduation,Divorced,31380.0,2,1,11-03-2013,68,1,1,0,3,10,4,13,3,5,1,7,0,0,0,0,0,0,0
ID_J0H45MQE,1944,PhD,Married,91038.0,0,0,31-03-2014,80,1,3,5,10,488,3,591,156,0,12,1,0,0,0,0,0,0,0
ID_Z7OGUEBM,1961,Graduation,Married,35178.0,1,1,06-04-2014,62,4,2,0,4,18,5,14,8,7,4,6,0,0,0,0,0,0,0
ID_0IE85O4J,1950,PhD,Widow,61882.8,0,1,12-02-2013,46,4,7,1,7,385,3,47,6,0,34,8,0,1,0,0,0,0,1
ID_SVZ1CK0I,1976,Master,Single,37392.0,1,0,16-09-2013,66,2,2,0,3,21,6,25,6,1,13,8,0,0,0,0,0,0,0
ID_WZKMTXL5,1988,Graduation,Single,56307.6,1,0,22-08-2012,97,3,5,1,7,90,47,54,102,78,6,7,0,0,0,0,0,0,0
ID_PXIO9WD7,1950,Master,Married,75414.0,1,1,01-10-2012,10,11,3,4,10,1104,3,45,0,0,34,8,0,1,0,0,0,0,1
ID_LNKEY013,1957,Master,Married,108271.2,0,0,26-09-2012,33,1,4,7,12,1088,111,649,253,151,108,2,0,0,0,1,0,0,0
ID_9CK7R04Y,1970,Master,Together,53522.4,1,1,15-02-2014,42,6,6,1,4,172,5,89,0,0,34,8,0,0,0,0,0,0,0
ID_KP3FF09U,1977,Graduation,Divorced,15085.2,1,0,18-01-2014,93,4,3,1,3,8,8,14,2,12,17,6,0,0,0,0,0,0,0
ID_0KKF7792,1977,PhD,Married,82076.4,0,1,17-11-2013,13,1,6,9,5,765,83,466,17,13,80,3,0,0,0,0,0,0,0
ID_0GXO81GF,1977,PhD,Together,44874.0,1,0,02-05-2014,54,1,1,0,3,23,3,9,0,1,11,6,0,0,0,0,0,0,0
ID_T0LALT3W,1954,Graduation,Married,58423.2,1,2,04-12-2013,15,1,1,0,2,15,3,7,2,0,1,8,0,0,0,0,0,0,0
ID_VWW30YKB,1956,Graduation,Married,78252.0,0,1,10-03-2014,32,2,9,3,8,631,3,70,0,7,28,6,0,1,0,1,0,0,0
ID_3DV9UNHA,1973,Graduation,Together,101887.2,0,0,04-10-2013,105,1,5,6,12,1002,18,414,99,30,76,2,0,1,1,0,1,0,0
ID_R0K9VXHY,1976,Graduation,Married,95046.0,0,0,29-08-2012,80,1,6,5,4,509,26,117,179,28,44,4,0,0,0,1,0,0,1
ID_YPN2B2F0,1955,Graduation,Married,70933.2,0,0,02-05-2013,97,1,11,1,8,529,3,134,28,28,155,7,0,0,0,0,0,0,0
ID_AFG64MR9,1982,Graduation,Single,86479.2,0,0,23-06-2014,62,1,4,6,6,1008,37,536,134,51,34,2,0,0,1,1,0,0,1
ID_J1QDBRIO,1972,Graduation,Widow,36446.4,1,1,25-12-2012,40,3,2,0,3,20,3,12,7,3,7,7,0,0,0,0,0,0,0
ID_BCF8T5SW,1971,PhD,Married,71870.4,0,1,02-11-2013,33,1,2,1,3,78,3,13,0,1,0,3,0,0,0,0,0,0,0
ID_KD68K0C0,1963,PhD,Married,65631.59999999999,0,1,17-02-2013,79,8,6,4,13,691,20,142,23,26,35,6,0,0,0,0,0,0,0
ID_H7DUZ268,1959,PhD,Together,93435.6,0,0,27-11-2013,27,1,4,5,10,886,41,319,16,25,12,2,0,0,0,0,0,0,0
ID_X03JHZ3L,1951,Graduation,Together,40831.2,1,1,05-08-2013,18,3,2,1,3,23,9,15,12,8,17,5,0,0,0,0,0,0,0
ID_FRJR1XOC,1991,Graduation,Married,22714.8,0,0,16-02-2013,22,1,1,0,4,37,3,8,23,4,18,6,0,0,0,0,0,0,0
ID_IZ0A4X3C,1947,Master,Married,80202.0,0,0,28-09-2013,28,1,6,4,13,625,29,195,34,17,141,2,0,0,0,0,0,0,0
ID_SPGSVU7P,1966,Graduation,Together,40147.2,1,1,21-04-2014,65,2,1,0,3,12,6,10,8,1,7,7,0,0,0,0,0,0,0
ID_8QBVM1UR,1981,2n Cycle,Single,55066.8,0,1,02-07-2013,49,1,1,0,3,36,3,6,0,1,8,6,0,0,0,0,0,0,0
ID_G70JBA3S,1986,Graduation,Married,53186.4,1,0,16-06-2014,37,2,3,0,3,51,3,40,3,0,3,8,0,0,0,0,0,0,0
ID_LOE38F3B,1967,Graduation,Married,73543.2,0,1,02-08-2013,41,2,7,1,8,361,3,107,19,9,117,5,0,0,0,0,0,0,0
ID_H9WFRAXT,1961,Master,Married,36626.4,0,1,17-08-2012,13,5,1,2,9,184,11,83,19,11,26,2,0,0,0,0,0,0,0
ID_ZV0ZT7AM,1985,Graduation,Married,108000.0,0,0,23-12-2013,98,1,4,8,5,680,147,133,94,192,241,1,1,0,1,1,0,0,0
ID_DHFUQ0EJ,1978,Graduation,Together,66450.0,0,1,17-10-2013,10,1,1,1,6,47,14,57,10,28,14,2,0,0,0,0,0,0,0
ID_D9YGOG9Z,1974,Master,Divorced,52861.2,1,1,29-01-2013,27,4,3,1,4,84,10,58,6,3,18,6,0,0,0,0,0,0,1
ID_EAYFEC6S,1976,PhD,Together,74286.0,0,1,04-02-2014,9,2,4,2,4,172,3,43,6,2,13,5,0,0,0,0,0,0,0
ID_7VEKI9WS,1970,PhD,Single,57888.0,0,0,09-11-2012,80,3,6,3,13,394,94,248,64,49,41,5,0,0,0,0,0,0,1
ID_8JUEUEVQ,1965,PhD,Married,54910.8,1,1,23-02-2013,20,2,2,0,3,47,4,18,3,0,4,7,0,0,0,0,0,0,0
ID_CLI9T20X,1965,2n Cycle,Together,81979.2,0,1,04-11-2012,61,5,10,7,10,811,83,161,120,11,33,6,0,0,0,0,0,0,0
ID_JPCDG6IN,1986,Graduation,Single,26792.4,1,0,02-08-2013,101,1,1,0,3,10,7,8,2,0,5,5,0,0,0,0,0,0,0
ID_B7IRGM1E,1976,Graduation,Married,57813.6,1,1,28-10-2012,76,6,5,1,4,164,7,45,6,2,38,8,0,0,0,0,0,0,0
ID_FTO4S86I,1971,PhD,Together,93146.4,0,2,14-04-2014,10,2,6,3,11,525,10,154,19,0,14,3,0,0,0,0,0,0,0
ID_HICUPOUE,1978,Graduation,Together,39813.6,1,0,30-01-2014,16,1,1,0,3,17,9,2,11,2,16,4,0,0,0,0,0,0,0
ID_XGXOFYJK,1978,Graduation,Single,28515.6,1,0,07-08-2012,71,1,1,0,3,27,3,6,6,2,6,7,0,0,0,0,0,0,0
ID_YRVG13JN,1972,Graduation,Married,63037.2,0,0,30-12-2012,75,2,7,2,10,288,115,151,51,72,125,6,0,0,0,0,0,0,0
ID_C7E81QUA,1952,PhD,Single,77940.0,0,1,12-08-2012,36,2,11,2,10,824,3,72,12,0,63,7,0,1,0,0,0,0,0
ID_546FGGP2,1977,2n Cycle,Together,30211.2,1,1,10-08-2013,86,1,1,0,2,9,3,4,0,0,5,7,0,0,0,0,0,0,0
ID_TBBQB3DL,1977,Basic,Divorced,11457.6,1,0,08-08-2012,38,2,1,0,3,5,4,3,10,6,9,8,0,0,0,0,0,0,0
ID_ILNMRL0C,1960,Graduation,Together,85640.4,0,0,23-08-2013,31,1,4,5,7,232,26,389,42,21,75,2,0,0,0,0,0,0,0
ID_3NFUBDXC,1980,Graduation,Married,85951.2,0,0,01-11-2012,101,1,5,5,8,551,75,376,94,145,72,3,0,1,0,0,0,0,0
ID_AA30OJR8,1984,Graduation,Together,26412.0,1,0,30-06-2013,58,2,2,0,3,16,5,9,3,0,8,8,0,0,0,0,0,0,0
ID_3A8ESVKT,1977,Graduation,Together,43539.6,1,1,14-04-2014,49,2,1,0,3,11,8,5,8,0,5,4,0,0,0,0,0,0,0
ID_IUI83ICJ,1977,2n Cycle,Together,43561.2,1,0,25-10-2013,60,1,3,0,3,16,15,35,3,5,12,7,0,0,0,0,0,0,0
ID_PHWI8SJP,1973,PhD,Married,51922.8,1,0,16-09-2013,68,1,1,0,2,15,4,7,0,0,1,8,0,0,0,0,0,0,0
ID_GURF2B5U,1963,PhD,Widow,99085.2,0,0,02-04-2014,35,0,6,5,13,866,34,558,62,95,79,2,0,0,1,0,0,0,0
ID_WDEA6EJX,1974,Graduation,Together,68520.0,0,0,04-12-2013,26,1,3,3,6,186,24,69,39,3,96,3,0,0,0,0,0,0,0
ID_IR7UPLBG,1987,Graduation,Married,30302.4,1,0,12-07-2013,33,1,1,0,2,6,6,4,2,2,6,8,0,0,0,0,0,0,0
ID_XUFQZUYW,1947,PhD,Single,99360.0,0,0,24-11-2012,30,1,7,6,12,1011,25,115,59,68,45,3,0,0,1,1,0,0,1
ID_RQFNU4U9,1973,Master,Single,55707.6,1,1,18-09-2013,13,3,2,0,4,73,3,16,0,0,8,7,0,0,0,0,0,0,0
ID_X5T71UIK,1956,Master,Married,46142.4,1,1,30-03-2014,69,3,3,0,3,61,3,14,0,0,2,7,0,0,0,0,0,0,0
ID_OW62F0RU,1980,Master,Married,39318.0,1,0,23-02-2014,56,2,2,0,4,18,6,17,7,3,3,5,0,0,0,0,0,0,0
ID_Y3SOI3OE,1976,Graduation,Together,91838.4,1,1,09-09-2013,45,4,9,5,7,360,33,177,90,138,30,5,0,0,0,0,0,0,0
ID_2ZFDRTZK,1970,Master,Together,,1,1,18-05-2013,59,7,4,10,4,380,45,48,94,66,96,3,0,0,0,0,0,0,0
ID_HEQSBKG9,1975,Graduation,Married,53986.8,0,1,12-09-2012,33,5,5,1,5,103,3,106,49,10,106,6,0,0,0,0,0,0,0
ID_WB30UU5Y,1956,Graduation,Divorced,59317.2,0,1,03-08-2012,16,2,7,1,5,224,6,100,26,0,17,8,0,0,0,0,0,0,0
ID_K2IEQNTD,1947,PhD,Together,76816.8,2,1,10-06-2014,63,7,8,2,5,411,3,30,0,0,8,7,0,0,0,1,0,0,0
ID_YOW0MZEC,1966,Graduation,Married,82966.8,0,1,27-01-2014,30,1,4,1,5,91,15,75,33,15,6,4,0,0,0,0,0,0,0
ID_UVMKUS9R,1970,PhD,Single,79898.4,0,0,03-03-2014,90,1,2,8,9,794,28,420,16,38,0,1,0,0,0,0,0,0,0
ID_YV2A44AM,1974,PhD,Married,103012.8,0,0,29-05-2014,69,1,6,6,7,943,22,843,25,95,38,2,0,0,1,0,0,0,0
ID_J356QETM,1974,PhD,Single,56224.8,1,1,31-03-2014,88,6,5,1,3,101,4,79,7,1,79,8,1,0,0,0,0,0,1
ID_R2CD8PIM,1973,PhD,Together,41493.6,2,1,11-04-2014,8,1,1,0,2,12,3,1,0,0,0,6,0,0,0,0,0,0,0
ID_BS6LUPCV,1978,Graduation,Married,41256.0,1,0,02-05-2013,75,4,4,1,3,77,10,58,13,1,24,8,0,0,0,0,0,0,0
ID_FL2WQBV8,1952,Graduation,Married,53626.8,1,1,10-01-2014,89,2,1,1,2,23,3,5,0,0,11,7,1,0,0,0,0,0,0
ID_QL6Z9IC0,1969,Graduation,Married,77508.0,0,0,14-10-2012,105,1,9,4,10,925,141,168,36,46,30,6,0,0,0,0,0,0,0
ID_JALQD74D,1977,PhD,Divorced,84214.8,0,1,21-07-2013,17,3,7,3,13,537,91,168,69,44,133,5,0,0,0,0,0,0,0
ID_8CJPB3IV,1986,PhD,Married,21802.8,1,0,19-02-2013,47,1,1,0,2,14,3,5,0,0,7,8,0,0,0,0,0,0,0
ID_J6ALZM19,1989,PhD,Married,81055.2,0,0,31-08-2012,97,1,4,10,5,869,137,768,150,38,172,3,0,0,0,0,0,0,0
ID_12863WB4,1956,Graduation,Married,89121.59999999999,0,0,14-02-2013,90,1,4,3,5,204,69,315,97,174,41,2,0,0,0,0,0,0,0
ID_35X25IZ3,1982,Graduation,Together,50594.4,1,0,19-11-2013,38,2,3,1,3,51,10,59,2,4,27,6,1,0,0,0,0,0,1
ID_E641OVYN,1976,Master,Married,110595.6,0,0,12-12-2012,32,0,5,11,5,822,186,797,106,163,20,2,0,0,1,1,0,0,1
ID_KO1KT37K,1966,Graduation,Single,83115.59999999999,0,1,05-03-2014,21,1,9,1,7,497,8,32,13,5,21,6,0,1,0,0,0,0,0
ID_8NDDW4W9,1976,Graduation,Together,26736.0,1,0,19-05-2013,92,1,1,0,2,7,4,4,3,1,2,8,0,0,0,0,0,0,0
ID_NFLCIMZQ,1955,Graduation,Divorced,102819.6,0,0,21-03-2014,13,1,2,4,10,1301,20,311,45,69,51,1,0,1,1,1,1,0,1
ID_DSON2KHD,1964,Graduation,Married,92924.4,0,0,26-11-2013,77,1,4,5,13,565,24,442,29,44,29,1,0,0,1,0,0,0,0
ID_DU4DVGNI,1961,PhD,Married,92444.4,0,1,13-10-2013,10,1,7,7,12,468,99,333,168,53,10,3,0,0,0,0,0,0,0
ID_Y76SBEO6,1983,Graduation,Together,23332.8,1,0,22-02-2014,15,3,4,1,2,21,3,23,3,2,10,7,0,0,0,0,0,0,1
ID_6VSW3OVS,1955,Graduation,Single,43356.0,0,1,02-02-2013,53,6,3,8,4,162,46,127,68,56,37,4,1,0,0,0,0,0,1
ID_5VZ5NEBV,1977,Graduation,Single,56430.0,0,1,07-11-2013,59,3,6,3,5,259,10,108,20,0,26,6,0,0,0,0,0,0,0
ID_CRL670HG,1977,Graduation,Married,36926.4,1,1,12-03-2014,96,1,1,0,2,12,5,4,2,1,4,6,0,0,0,0,0,0,0
ID_0Q6ZGI80,1960,PhD,Single,,0,0,05-11-2013,87,1,1,3,4,86,14,50,3,2,39,2,0,0,0,0,0,0,0
ID_BTKYARYJ,1973,Graduation,Single,46569.6,1,0,26-08-2012,28,4,5,1,4,130,20,52,3,19,30,8,1,0,0,0,0,0,1
ID_WT505RHJ,1964,Graduation,Divorced,40053.6,1,1,06-02-2013,45,3,2,0,4,38,9,40,3,7,10,7,0,0,0,0,0,0,0
ID_M4HJRYD4,1976,Graduation,Single,39898.8,1,0,20-02-2013,18,2,2,1,3,11,13,21,19,14,42,6,0,0,0,0,0,0,0
ID_BKAYC07A,1960,PhD,Single,41464.8,0,1,30-03-2014,50,2,2,0,3,46,4,6,2,0,5,6,0,0,0,0,0,0,0
ID_GBM07X0W,1975,PhD,Married,48412.8,0,1,13-10-2013,55,2,4,1,5,215,3,6,0,0,2,7,0,0,0,0,0,0,0
ID_5JQZ5MPJ,1977,Graduation,Divorced,37190.4,1,0,22-04-2013,90,1,1,0,3,22,3,14,7,3,2,7,0,0,0,0,0,0,0
ID_KOB28GW3,1966,Graduation,Single,73870.8,0,1,17-07-2013,15,1,4,2,10,284,86,88,32,14,34,3,0,0,0,0,0,0,0
ID_GRBNGYX4,1970,Graduation,Married,62895.6,0,2,02-02-2013,63,4,6,4,12,300,109,271,75,98,65,6,0,0,0,0,0,0,0
ID_2DJ9AC5Q,1971,PhD,Married,66189.59999999999,1,1,30-07-2012,79,4,7,2,5,298,3,87,4,11,23,7,0,0,0,0,0,0,1
ID_30VQ6BKP,1972,PhD,Together,94370.4,0,1,21-04-2013,90,1,4,9,4,1401,3,322,46,35,17,6,0,0,0,0,0,0,0
ID_3RPO0ZH5,1979,2n Cycle,Together,,0,0,12-08-2012,60,0,0,0,1,37,5,1607,12,4,22,0,0,1,0,0,0,0,0
ID_JGODOP61,1952,Graduation,Married,41805.6,1,1,19-01-2013,69,3,2,1,4,33,26,29,29,14,47,6,0,0,0,0,0,0,0
ID_SXLG0FZK,1980,Basic,Single,19034.4,1,0,27-06-2013,33,1,1,0,3,6,4,4,11,9,10,8,0,0,0,0,0,0,0
ID_DH930VB6,1969,Master,Single,60016.8,1,0,22-01-2014,16,2,4,1,8,239,17,77,19,10,42,5,0,0,0,0,0,0,0
ID_0M5L65Y7,1979,Graduation,Together,27330.0,1,0,19-06-2013,47,1,1,0,2,10,4,8,0,0,1,8,0,0,0,0,0,0,0
ID_7AL41J26,1952,Graduation,Single,72826.8,0,1,01-06-2013,30,4,4,4,10,245,93,216,63,6,24,3,0,0,0,0,0,0,0
ID_T41MKB5U,1963,Graduation,Single,83552.4,0,1,17-03-2013,42,2,8,2,11,236,164,215,171,30,53,5,0,0,0,0,0,0,0
ID_MTNSI0B2,1988,Graduation,Divorced,97633.2,0,0,25-02-2014,25,1,3,10,13,168,26,424,27,65,76,1,0,0,0,0,0,0,1
ID_BWZZD66P,1974,Graduation,Divorced,85353.59999999999,1,0,06-10-2012,87,3,2,10,12,963,162,447,20,0,31,7,0,0,0,0,0,0,0
ID_OPUDZ75K,1960,Graduation,Married,73416.0,0,1,23-04-2014,77,2,5,5,6,408,27,29,6,24,218,3,1,0,0,0,0,0,0
