ProductID,ProductCategory,ProductBrand,ProductPrice,CustomerAge,CustomerGender,PurchaseFrequency,CustomerSatisfaction,PurchaseIntent
5992,Tablets,HP,1929.6955318207756,25,0,4,5,0
5993,Laptops,Sony,2843.819525046022,25,0,19,5,0
5994,Headphones,Sony,2315.6767355229026,21,1,16,3,0
5995,Laptops,Other Brands,1478.5295189680994,45,0,18,3,0
5996,Tablets,Apple,2432.4615991254886,53,1,13,1,1
5997,Laptops,Other Brands,2584.5296482255976,38,0,9,1,0
5998,Laptops,HP,1984.015783673458,67,1,14,3,1
5999,Smartphones,HP,1395.0931103444623,31,0,4,4,1
6000,Headphones,Sony,2096.721431458816,46,0,14,3,0
6001,Tablets,HP,2446.9218997818625,46,0,7,4,1
6002,Smartphones,HP,1479.706109542381,38,1,6,5,1
6003,Smart Watches,Sony,2578.6241108513013,56,0,16,1,0
6004,Laptops,Apple,565.0344341017734,20,0,7,3,0
6005,Laptops,Sony,1615.6047000199005,19,1,12,2,0
6006,Smartphones,Apple,1375.7755520320643,33,1,7,3,1
6007,Smartphones,Sony,1704.3833056430387,47,0,8,3,0
6008,Headphones,Samsung,2566.6971184307254,21,1,2,3,0
6009,Smartphones,Other Brands,2574.2493744621306,60,1,8,5,1
6010,Headphones,Samsung,1019.437435539791,28,1,6,3,0
6011,Smart Watches,Samsung,1405.3517096508644,28,0,10,2,0
6012,Tablets,Sony,772.3063687282204,18,1,11,2,0
6013,Smartphones,Samsung,2723.0553681347196,48,0,17,1,0
6014,Tablets,Sony,383.81439363465324,60,1,10,3,1
6015,Headphones,Other Brands,1913.8773969026108,27,0,11,2,0
6016,Smart Watches,Samsung,2782.6474891245784,32,0,19,5,1
6017,Smartphones,Other Brands,466.83120320422705,42,1,18,4,1
6018,Smartphones,HP,1048.8250188239565,51,0,3,5,1
6019,Smart Watches,Samsung,1806.0570221521634,49,0,8,2,0
6020,Tablets,Other Brands,2865.1876590026327,65,1,7,5,1
6021,Smartphones,Other Brands,1481.546199983753,42,0,18,4,1
6022,Smart Watches,Apple,233.2655319086016,36,1,11,2,1
6023,Smartphones,HP,2090.798833907924,66,1,18,5,1
6024,Laptops,HP,1468.9669599162746,33,0,14,1,0
6025,Headphones,HP,731.4370941764115,19,1,19,3,0
6026,Laptops,Sony,2983.494261829323,41,0,11,2,0
6027,Smartphones,Samsung,1997.9179888285212,38,0,10,4,1
6028,Smartphones,Sony,1206.7120470825025,20,0,1,1,0
6029,Laptops,Apple,1752.1573382093582,51,1,6,3,1
6030,Smartphones,Samsung,936.4659101132988,58,0,10,4,1
6031,Smart Watches,Sony,420.50198491131266,60,0,13,5,1
6032,Smartphones,Apple,2291.5266503266093,66,1,17,1,1
6033,Smart Watches,HP,2441.3913968901543,59,0,1,4,1
6034,Tablets,Sony,345.794948671479,23,1,8,4,1
6035,Headphones,Other Brands,832.2568828364172,55,1,7,3,1
6036,Tablets,HP,1667.943513750575,18,1,19,5,1
6037,Laptops,HP,330.12003630302024,47,1,8,1,1
6038,Smart Watches,Apple,2884.8734423338365,50,0,11,5,1
6039,Smart Watches,Other Brands,162.87623923022613,40,1,8,5,1
6040,Headphones,HP,1636.489675630084,42,0,19,4,1
6041,Headphones,Samsung,1402.744497621219,57,0,8,4,1
6042,Tablets,HP,1951.5184076665118,21,1,10,3,0
6043,Smartphones,HP,1909.92069511967,26,1,18,3,0
6044,Smartphones,HP,351.3871156538159,69,0,8,1,0
6045,Headphones,Sony,1488.2453992869573,56,1,3,1,1
6046,Smartphones,Apple,1674.8073744116755,45,1,7,1,1
6047,Smart Watches,Other Brands,782.2358143367167,39,1,4,3,1
6048,Headphones,Apple,400.464165086736,42,1,19,2,1
6049,Headphones,Sony,1508.4845582598707,50,0,5,3,0
6050,Headphones,Other Brands,906.067430346667,67,0,2,2,0
6051,Headphones,Apple,510.14134185496636,21,1,13,1,0
6052,Headphones,Samsung,2994.1742125666256,22,1,4,3,0
6053,Tablets,Other Brands,979.329985871985,58,0,5,3,0
6054,Laptops,HP,941.6391260814773,34,0,3,5,1
6055,Laptops,Apple,139.04013446607513,38,1,4,1,1
6056,Smart Watches,HP,785.5687269456176,25,0,15,4,0
6057,Smartphones,Samsung,1152.8754139299526,30,0,12,1,0
6058,Smartphones,Sony,178.22928714724907,25,0,15,4,0
6059,Laptops,Samsung,2971.874535398601,27,1,15,3,0
6060,Laptops,Samsung,2195.7516492435866,42,1,3,3,1
6061,Smart Watches,HP,1222.9421230104956,47,0,17,3,0
6062,Tablets,Samsung,2834.3363657450313,20,0,19,2,0
6063,Laptops,HP,2805.299985108147,26,0,4,5,0
6064,Tablets,HP,1993.7769194596658,51,0,5,1,0
6065,Headphones,Samsung,2132.557084721233,48,1,10,3,1
6066,Smart Watches,HP,2150.786710238623,68,0,1,3,0
6067,Headphones,HP,2303.051475189634,52,0,18,4,1
6068,Headphones,Sony,2573.580671347022,47,1,12,2,1
6069,Smartphones,Sony,1745.2160111116443,61,0,7,4,1
6070,Smart Watches,Other Brands,2348.4476811506324,57,1,12,4,1
6071,Smart Watches,Sony,1663.5696464275418,23,0,1,4,0
6072,Laptops,Apple,1861.0008021508352,58,1,12,3,1
6073,Headphones,Sony,1107.5641068472332,24,1,5,1,0
6074,Tablets,Sony,1825.6501063808912,54,1,10,5,1
6075,Tablets,Other Brands,1815.5627424331751,19,0,19,5,0
6076,Tablets,Other Brands,2423.392159911244,48,1,13,3,1
6077,Laptops,Samsung,1782.2762993894548,62,0,6,3,0
6078,Headphones,Sony,1289.6172730143346,57,0,3,1,0
6079,Smart Watches,Sony,1210.3090460888272,50,1,7,3,1
6080,Smartphones,Sony,2652.6372495098585,18,1,13,5,1
6081,Laptops,HP,1520.821630356429,19,1,3,3,0
6082,Laptops,Apple,2342.989265316976,23,0,1,1,0
6083,Headphones,Apple,1639.669208427792,54,1,19,3,1
6084,Laptops,HP,2329.405276066154,40,1,3,1,1
6085,Tablets,HP,889.5237021781904,51,1,2,3,1
6086,Headphones,Other Brands,1852.9166018936335,28,0,7,4,0
6087,Tablets,Other Brands,1447.5304186686099,54,0,3,2,0
6088,Laptops,HP,909.5710225089148,25,0,16,5,0
6089,Headphones,Sony,2723.0217442587514,50,0,10,4,1
6090,Headphones,Apple,2939.851329852623,39,1,12,3,1
6091,Tablets,HP,1232.2919512767892,44,0,14,1,0
6092,Laptops,Samsung,206.04328427409047,52,1,16,5,1
6093,Smart Watches,Samsung,878.5841271051249,31,0,17,3,0
6094,Headphones,Other Brands,682.7500198796579,52,0,11,1,0
6095,Headphones,Other Brands,1096.9299549052264,39,0,13,1,0
6096,Headphones,Samsung,2897.5463171220085,62,0,9,1,0
6097,Headphones,Sony,287.64174136547666,42,0,2,2,0
6098,Smart Watches,HP,2950.631473718646,48,0,1,5,1
6099,Headphones,Apple,1313.8525676031363,53,1,8,3,1
6100,Tablets,HP,2256.76514936796,53,1,3,4,1
6101,Smartphones,HP,1437.68682077672,69,1,5,3,1
6102,Tablets,Apple,1887.3864881556308,50,1,9,3,1
6103,Laptops,Other Brands,698.3098589845557,45,1,4,4,1
6104,Headphones,Apple,1854.0354940230677,35,0,6,2,0
6105,Tablets,Sony,1909.2403601008875,31,0,16,1,0
6106,Smart Watches,Other Brands,1315.8592891095043,52,0,9,1,0
6107,Smartphones,Samsung,2737.20809694937,40,0,6,2,0
6108,Headphones,HP,1060.3989315014035,23,1,15,5,1
6109,Smart Watches,Sony,150.12290980472847,23,1,10,3,0
6110,Smartphones,HP,2460.0253275789883,46,1,13,1,1
6111,Headphones,Apple,401.8987847703025,40,0,14,1,0
6112,Tablets,Apple,2760.17903975797,61,0,8,3,0
6113,Smart Watches,Other Brands,643.5258687199777,47,0,17,1,0
6114,Headphones,Samsung,2000.112167937795,58,0,16,5,1
6115,Smartphones,Samsung,893.7275241651945,41,1,2,1,1
6116,Smartphones,Sony,1727.687007782515,53,1,15,4,1
6117,Smartphones,HP,1958.0512066643823,69,0,13,2,0
6118,Smart Watches,Other Brands,2633.152466806863,59,1,15,1,1
6119,Tablets,Other Brands,2067.063196913815,27,0,7,5,0
6120,Smartphones,Sony,1722.1063320379726,34,1,17,2,1
6121,Smartphones,Sony,1035.9558426552812,57,0,4,1,0
6122,Smartphones,Apple,1216.6023794419725,58,1,16,3,1
6123,Smartphones,Sony,2078.3751507687184,33,1,7,1,1
6124,Laptops,HP,2298.167263692667,43,0,10,5,1
6125,Headphones,Sony,2170.241094657143,39,1,15,5,1
6126,Smartphones,HP,2855.4022914700477,52,0,1,1,0
6127,Smart Watches,Sony,2033.833501103652,55,1,3,1,1
6128,Smartphones,Other Brands,2442.850601831581,63,1,18,5,1
6129,Headphones,Sony,1135.8973641379323,43,1,14,3,1
6130,Smartphones,Sony,1895.5018491120281,52,0,19,4,1
6131,Smartphones,HP,1113.486262822688,33,0,13,1,0
6132,Smart Watches,Sony,1596.9153217008381,60,0,7,4,1
6133,Laptops,HP,2190.2000996737465,31,1,18,4,1
6134,Headphones,Samsung,2383.316886537613,50,1,18,1,1
6135,Smartphones,Sony,1606.6135032748168,25,0,1,2,0
6136,Headphones,Apple,144.10891955916554,38,0,9,2,0
6137,Headphones,Other Brands,894.964152034135,18,0,7,2,0
6138,Smartphones,Other Brands,743.1162539791837,49,0,18,2,0
6139,Headphones,Samsung,2573.5312038552893,31,0,15,3,0
6140,Smartphones,Sony,2056.106676784643,50,1,16,1,1
6141,Laptops,Other Brands,1357.1308004347939,31,1,16,4,1
6142,Smartphones,Sony,1041.744225885516,67,0,15,5,1
6143,Headphones,Apple,1263.2760528828637,21,1,16,1,0
6144,Smart Watches,Apple,1946.4266803740854,68,1,15,5,1
6145,Headphones,Apple,2127.800927299534,58,1,5,2,1
6146,Laptops,Sony,752.9558720085558,61,1,2,3,1
6147,Tablets,Other Brands,1113.521454347736,36,1,6,4,1
6148,Tablets,Samsung,1541.380253135379,41,1,2,3,1
6149,Laptops,HP,2691.3195749173788,56,0,11,4,1
6150,Tablets,Samsung,305.2419232059764,18,0,16,4,0
6151,Tablets,Samsung,2004.5072629270949,52,0,2,2,0
6152,Laptops,Samsung,631.2060542250263,58,1,6,3,1
6153,Headphones,Samsung,1668.0065950471771,33,1,7,4,1
6154,Laptops,HP,306.08504436443775,47,0,14,4,1
6155,Smartphones,Apple,2786.2189940034777,38,0,7,2,0
6156,Smartphones,Sony,2437.496069816139,18,1,11,1,0
6157,Smartphones,Other Brands,2285.8923543161404,58,1,14,1,1
6158,Smartphones,Sony,1908.8110170317048,18,1,5,5,1
6159,Smart Watches,Sony,1872.5148672302244,22,0,16,1,0
6160,Smart Watches,HP,1909.1553791368242,40,0,11,5,1
6161,Tablets,Apple,2920.143852968892,35,0,14,3,0
6162,Headphones,Other Brands,400.1667384346393,19,0,7,2,0
6163,Smart Watches,HP,2409.107154605812,29,1,2,3,0
6164,Headphones,Samsung,141.50328849198087,18,1,13,1,0
6165,Headphones,Apple,2729.6660387787315,36,1,2,3,1
6166,Headphones,Sony,2330.699143373209,45,1,6,3,1
6167,Headphones,HP,2250.6901185315305,18,0,19,4,0
6168,Smartphones,HP,864.7020927380277,59,1,15,3,1
6169,Smartphones,HP,1879.6279908974916,54,0,15,4,1
6170,Laptops,Apple,503.1329167031725,61,1,2,2,1
6171,Laptops,Sony,2247.6993186312548,31,0,14,2,0
6172,Tablets,Samsung,2719.2368895306504,36,1,3,5,1
6173,Headphones,Other Brands,1344.4896637162492,64,1,10,3,1
6174,Smartphones,Samsung,733.0443794175014,44,1,13,4,1
6175,Smart Watches,Other Brands,614.7603601751732,57,1,19,2,1
6176,Smart Watches,Samsung,1759.9320488955975,33,1,14,3,1
6177,Headphones,HP,287.073233047602,19,0,3,1,0
6178,Laptops,HP,2073.6638301065777,68,0,6,4,1
6179,Headphones,Apple,1134.9222627812683,20,1,14,2,0
6180,Headphones,HP,1506.7137537920432,63,1,19,4,1
6181,Headphones,Sony,466.3964118000653,30,0,9,4,0
6182,Smart Watches,Apple,1068.4373791064718,21,0,17,3,0
6183,Smart Watches,Other Brands,558.9930014860902,24,1,6,3,0
6184,Smart Watches,HP,1518.9957788426814,69,0,9,1,0
6185,Laptops,Other Brands,2417.1205321652064,31,0,8,1,0
6186,Laptops,Samsung,502.40240602816715,49,0,13,4,1
6187,Smart Watches,HP,1377.9084335957912,48,1,2,2,1
6188,Laptops,HP,234.6492548635084,45,0,16,2,0
6189,Headphones,Sony,248.2459001027345,21,1,5,3,0
6190,Laptops,Apple,616.5152934185354,24,1,2,1,0
6191,Headphones,Samsung,2042.5706142109273,59,0,17,2,0
6192,Headphones,Apple,1053.4856930544843,54,0,17,3,0
6193,Laptops,Samsung,2759.443938307891,54,1,13,4,1
6194,Headphones,Apple,548.8076048570358,21,1,1,1,0
6195,Tablets,Apple,541.1608440896716,65,1,13,1,1
6196,Tablets,Apple,2631.290206236958,29,0,7,3,0
6197,Laptops,Other Brands,954.3204959371412,28,1,16,1,0
6198,Laptops,HP,1747.4311972818894,32,0,12,4,1
6199,Tablets,Apple,1947.5716926642206,34,1,4,2,1
6200,Laptops,Apple,1474.4139371842914,37,1,1,3,1
6201,Laptops,Sony,2565.0068759904575,44,1,15,5,1
6202,Smartphones,HP,729.0774490097754,37,1,11,4,1
6203,Smart Watches,Apple,234.38461081838952,32,1,5,2,1
6204,Laptops,Other Brands,1828.5142039140944,20,1,15,3,0
6205,Smart Watches,Samsung,147.86522490401146,57,1,15,3,1
6206,Smart Watches,Apple,2698.6241308476115,51,1,3,1,1
6207,Laptops,Other Brands,2351.4153454801526,28,0,1,4,0
6208,Smart Watches,Apple,2428.6594354410167,43,1,9,5,1
6209,Smartphones,Sony,1050.9366269067089,56,0,2,1,0
6210,Tablets,Sony,856.3016241537734,18,0,7,3,0
6211,Smartphones,Sony,1117.9322486257302,43,1,14,2,1
6212,Headphones,Sony,2359.889069462686,28,1,3,2,0
6213,Laptops,Samsung,1153.8597444627526,64,1,6,1,1
6214,Smartphones,Sony,1526.1321580719653,67,1,1,5,1
6215,Headphones,Other Brands,2434.6578021325236,54,0,11,3,0
6216,Smartphones,Other Brands,2164.1356396925808,63,1,2,1,1
6217,Smart Watches,Apple,489.08455702975067,33,0,8,3,0
6218,Headphones,Other Brands,1396.3707649774383,68,0,18,3,0
6219,Smartphones,HP,1577.8594560958163,25,1,7,2,0
6220,Tablets,Samsung,1369.2958726832512,19,0,11,2,0
6221,Headphones,Samsung,957.9811806866842,52,1,18,4,1
6222,Tablets,Samsung,909.1284396132812,20,1,6,2,0
6223,Laptops,HP,1602.5361316830117,48,1,13,2,1
6224,Laptops,Apple,749.9971128269593,59,0,1,4,1
6225,Smartphones,Other Brands,493.2402862131297,68,1,9,4,1
6226,Headphones,Sony,2181.1937530265786,38,1,11,5,1
6227,Headphones,Other Brands,2964.4839999726332,64,0,15,2,0
6228,Smart Watches,Samsung,481.4994235667157,64,0,6,3,0
6229,Laptops,Samsung,392.85851852354995,35,1,16,1,1
6230,Headphones,Apple,1085.9168537602618,60,1,14,4,1
6231,Laptops,Apple,2425.492177716275,23,1,1,1,0
6232,Smart Watches,Sony,2315.0462879989745,43,0,6,5,1
6233,Tablets,HP,2704.6716776630024,55,1,12,2,1
6234,Laptops,Other Brands,742.4232773944391,31,1,18,3,1
6235,Smart Watches,Sony,1900.3592581713535,60,0,1,3,0
6236,Headphones,Samsung,2559.709720154385,56,1,7,2,1
6237,Smart Watches,Other Brands,2391.296268645143,41,0,5,4,1
6238,Laptops,Sony,2056.14274470161,62,1,17,3,1
6239,Smart Watches,HP,2700.9742506853886,32,1,7,2,1
6240,Smart Watches,Samsung,2349.128303809005,57,0,8,2,0
6241,Smartphones,Other Brands,2329.204374614054,62,0,19,2,0
6242,Tablets,Other Brands,1620.870758360311,33,0,1,1,0
6243,Headphones,Other Brands,146.64023576379236,66,0,15,3,0
6244,Smartphones,Sony,2261.7379227979554,58,1,4,5,1
6245,Laptops,Apple,2334.8808749629948,32,0,4,2,0
6246,Smart Watches,Sony,2969.9242547048716,67,1,7,2,1
6247,Headphones,Other Brands,1827.5656430504491,39,1,17,1,1
6248,Tablets,Other Brands,905.0791559499635,23,1,13,4,1
6249,Smart Watches,Other Brands,737.4244211040563,38,1,15,1,1
6250,Tablets,Sony,1142.8860109806087,38,0,16,3,0
6251,Smartphones,HP,2283.1671201020754,23,1,5,1,0
6252,Headphones,HP,1434.0021034288457,23,0,9,5,0
6253,Smartphones,Other Brands,1478.7443578894863,22,1,9,1,0
6254,Tablets,Apple,447.2202787438818,47,1,5,4,1
6255,Tablets,HP,1092.302671064964,43,0,3,2,0
6256,Smart Watches,Other Brands,1629.1434185963892,25,1,4,2,0
6257,Headphones,Samsung,1765.1836883485935,63,1,8,1,1
6258,Tablets,Other Brands,785.1301395096614,54,0,12,5,1
6259,Headphones,Apple,2823.829792538351,29,0,19,1,0
6260,Smart Watches,Samsung,1983.5439325812574,21,1,6,1,0
6261,Smartphones,Apple,235.08237388702995,51,0,3,5,1
6262,Smart Watches,Apple,2743.1499030002847,52,0,6,3,0
6263,Smartphones,Other Brands,105.51729655236598,31,0,16,4,1
6264,Smartphones,HP,700.4863231416954,59,0,9,5,1
6265,Tablets,Samsung,1458.531815514107,40,0,17,1,0
6266,Tablets,Apple,674.2047269824617,40,0,13,3,0
6267,Smartphones,Other Brands,2576.7175081382784,58,1,18,5,1
6268,Smart Watches,HP,2056.0212087960085,50,1,5,1,1
6269,Laptops,Apple,680.6557390451895,43,0,1,5,1
6270,Smartphones,Samsung,510.36311628537146,62,0,6,1,0
6271,Smart Watches,Apple,1887.8245194289532,42,1,6,3,1
6272,Laptops,Apple,1767.8369130458532,38,0,7,3,0
6273,Tablets,Other Brands,846.4880577496289,52,0,3,4,1
6274,Headphones,Sony,1097.9058937626733,49,0,7,3,0
6275,Headphones,HP,2891.508845796347,50,0,2,5,1
6276,Tablets,Samsung,223.0126104781877,24,0,18,3,0
6277,Smart Watches,Sony,1825.6795245745132,59,1,13,1,1
6278,Tablets,Other Brands,580.210298134067,61,1,5,4,1
6279,Laptops,Other Brands,672.5125591262165,61,0,16,5,1
6280,Smartphones,Sony,2171.7499278766427,28,0,3,5,0
6281,Tablets,Apple,1826.048130758952,41,1,4,2,1
6282,Smartphones,HP,2443.5894459147216,49,1,3,1,1
6283,Headphones,Other Brands,461.6711286137131,59,1,18,3,1
6284,Tablets,Other Brands,2650.625999282717,25,0,9,4,0
6285,Smart Watches,HP,1375.3584086995293,54,0,10,2,0
6286,Smart Watches,Samsung,1375.64105681125,53,1,14,2,1
6287,Headphones,Sony,400.5706814918597,28,0,17,3,0
6288,Smart Watches,Other Brands,1249.229469190064,66,0,10,3,0
6289,Headphones,HP,1475.6595747727495,57,1,19,5,1
6290,Smart Watches,Sony,516.3770629457176,64,1,5,5,1
6291,Laptops,Samsung,1605.2963565778798,45,0,9,1,0
6292,Laptops,HP,543.680291244988,40,1,12,2,1
6293,Smart Watches,Samsung,2258.672539626075,57,1,15,3,1
6294,Smart Watches,HP,1096.7894736286319,58,1,13,4,1
6295,Smartphones,Apple,2448.6625116409245,68,0,1,1,0
6296,Smartphones,Apple,2962.2539992184993,30,1,5,5,1
6297,Tablets,Other Brands,2834.6084093820164,65,1,5,4,1
6298,Smartphones,HP,561.2255003843326,23,0,8,3,0
6299,Laptops,Other Brands,986.8348770604105,29,1,7,1,0
6300,Headphones,Apple,2367.8000017182862,65,0,15,5,1
6301,Laptops,Apple,1375.055649437845,44,1,3,1,1
6302,Smart Watches,HP,2147.826171753404,37,0,3,1,0
6303,Headphones,Samsung,2336.6202026350775,69,1,11,3,1
6304,Smartphones,HP,1741.9541534636699,33,1,11,4,1
6305,Tablets,HP,1018.7458250710283,55,1,5,5,1
6306,Tablets,Sony,2645.1954963632165,25,1,7,2,0
6307,Tablets,Other Brands,508.72733926485216,46,1,2,4,1
6308,Smart Watches,HP,110.26709061102534,46,1,1,3,1
6309,Headphones,Sony,2102.348723085321,68,0,2,3,0
6310,Smart Watches,Other Brands,1675.9165192294076,42,0,16,1,0
6311,Tablets,Samsung,1764.8099460121623,28,1,7,4,1
6312,Tablets,Apple,623.6623058913146,27,1,16,5,1
6313,Laptops,Apple,2486.6972751538297,34,1,10,3,1
